,company,rating,reviews,highlyRatedFor,jobs,salary
325,Exide Industries,3.4,(2.8k),"Promotions, Company Culture, Work Satisfaction",36,8.7k
326,Foxconn,3.8,(2.8k),Job Security,4,12.1k
327,UnitedHealth,4.0,(2.8k),"Job Security, Work Life Balance, Company Culture",--,13.5k
328,Shell,3.9,(2.8k),"Work Life Balance, Company Culture, Salary",43,14.4k
329,Micro Labs,3.6,(2.7k),Job Security,11,10k
330,KPMG Global Services,3.4,(2.7k),"Promotions, Work Satisfaction, Salary",41,24.6k
331,TVS Supply Chain Solutions,3.8,(2.7k),Job Security,13,8.6k
332,Flex,3.9,(2.7k),"Company Culture, Work Life Balance, Work Satisfaction",62,15.5k
333,ElasticRun,3.6,(2.7k),"Job Security, Promotions, Work Satisfaction",7,6.7k
334,KFintech,3.3,(2.7k),"Promotions, Salary, Skill Development",18,11.3k
335,Care Health Insurance,3.5,(2.7k),"Promotions, Salary, Company Culture",54,8.9k
336,Gallagher,3.6,(2.7k),"Work Life Balance, Job Security",180,15k
337,Capita,3.5,(2.7k),"Promotions, Salary, Job Security",44,12.5k
338,Blue Star,4.0,(2.7k),"Company Culture, Skill Development, Work Life Balance",365,10k
339,Ajanta Pharma,3.9,(2.7k),Job Security,26,9.2k
340,G4S,4.0,(2.7k),"Work Life Balance, Job Security, Salary",893,5.2k
341,Movate,3.1,(2.7k),"Promotions, Salary, Company Culture",124,15.4k
342,Sonalika Tractors,3.5,(2.7k),"Company Culture, Promotions, Work Life Balance",1,9.1k
343,Tata Advanced Systems,3.7,(2.7k),Job Security,14,13.3k
344,Photon Interactive,4.1,(2.7k),"Work Satisfaction, Skill Development, Salary",821,7.7k
345,Voltas,4.0,(2.7k),"Job Security, Work Life Balance, Company Culture",37,8.8k
346,Whitehat jr,3.3,(2.7k),"Job Security, Promotions, Company Culture",--,8.8k
347,NoBroker,3.0,(2.7k),"Job Security, Promotions, Work Satisfaction",360,11.1k
348,Adani Power,3.7,(2.7k),"Promotions, Company Culture",--,9.9k
349,ACT Fibernet,3.8,(2.7k),"Company Culture, Job Security",186,8k
350,DBS Bank,3.7,(2.7k),Salary,346,13.4k
351,BlackBuck,3.7,(2.7k),"Promotions, Job Security",26,6.4k
352,Foundever,3.3,(2.6k),"Promotions, Salary, Skill Development",58,9.2k
353,Himalaya Wellness,3.9,(2.6k),Work Life Balance,177,6.2k
354,IntouchCX,2.7,(2.6k),"Promotions, Job Security, Work Satisfaction",129,10.7k
355,Domino's Pizza,3.9,(2.6k),"Skill Development, Salary",--,4.4k
356,Laurus Labs,4.3,(2.6k),"Job Security, Salary, Company Culture",13,7.4k
357,Fortis Healthcare,4.1,(2.6k),"Job Security, Company Culture, Work Life Balance",1.3k,7.8k
358,BT Group,3.8,(2.6k),"Work Life Balance, Company Culture",19,12.1k
359,V-Mart,4.0,(2.6k),"Skill Development, Work Life Balance, Job Security",24,4.4k
360,JCB,3.8,(2.6k),Work Life Balance,--,10k
361,Sahrudaya Healthcare (Medicover Hospitals),4.3,(2.6k),"Work Life Balance, Skill Development, Company Culture",33,3.7k
362,Alldigi Tech,3.8,(2.6k),Job Security,10,7.6k
363,GAO Tek,4.4,(2.6k),"Work Life Balance, Skill Development, Company Culture",--,264
364,Northern Trust Operating Services,3.6,(2.6k),"Promotions, Salary, Work Satisfaction",111,17.9k
365,Sterlite Technologies,3.8,(2.6k),"Promotions, Job Security",136,10k
366,Adani Group,3.8,(2.5k),Salary,712,11.7k
367,Tractors and Farm Equipment,3.9,(2.5k),"Work Life Balance, Skill Development",19,8.5k
368,CorroHealth Infotech,3.6,(2.5k),Salary,60,8.1k
369,Bajaj Electricals,3.9,(2.5k),"Work Life Balance, Salary",25,7.2k
370,Sammaan Capital Limited,3.7,(2.5k),Work Life Balance,20,5.8k
371,Parle Agro,3.9,(2.5k),"Work Life Balance, Job Security",1,6.9k
372,ICICI Securities,3.9,(2.5k),"Job Security, Work Life Balance, Company Culture",60,9.8k
373,Emcure Pharmaceuticals,3.6,(2.5k),"Promotions, Company Culture, Job Security",69,8.7k
374,Planet Spark,3.8,(2.5k),Skill Development,66,3.8k
375,Biocon Limited,4.0,(2.5k),"Work Life Balance, Company Culture, Job Security",16,11.6k
376,TaskUs,2.9,(2.5k),"Promotions, Job Security, Skill Development",194,10.2k
377,Hero FinCorp,3.9,(2.5k),Work Life Balance,61,5.9k
378,Mahindra Holidays & Resorts,3.5,(2.5k),"Promotions, Work Life Balance, Work Satisfaction",73,6.1k
379,Cadila Pharmaceuticals,3.2,(2.5k),"Job Security, Promotions, Company Culture",312,8.2k
380,Datamatics Global Services,3.4,(2.5k),"Promotions, Salary, Company Culture",111,11.6k
381,Intellect Design Arena,3.5,(2.5k),Job Security,27,14.1k
382,Mahindra Rural Housing Finance,4.0,(2.5k),"Work Life Balance, Company Culture",8,4.9k
383,McDonald's,3.8,(2.5k),"Skill Development, Job Security",1,5k
384,Syngene International,3.7,(2.5k),Work Life Balance,6,12.8k
385,Paras Hospital,4.1,(2.5k),"Work Life Balance, Skill Development, Company Culture",82,3.3k
386,Patanjali Ayurved,4.0,(2.4k),"Work Life Balance, Salary",--,6k
387,Newgen Software Technologies,4.1,(2.4k),"Job Security, Company Culture, Work Life Balance",30,11.7k
388,Bureau Veritas,3.8,(2.4k),Work Life Balance,41,8.5k
389,Aditya Birla Group,4.1,(2.4k),"Job Security, Work Life Balance, Skill Development",10,10.2k
390,Cholamandalam MS General Insurance,3.7,(2.4k),"Promotions, Work Satisfaction, Skill Development",--,6k
391,RMSI,3.5,(2.4k),"Promotions, Salary, Skill Development",13,9k
392,3i Infotech,3.5,(2.4k),"Promotions, Salary, Job Security",95,10.7k
393,Info Edge,3.8,(2.4k),Job Security,387,11.6k
394,Taj Hotels Resorts and Palaces,4.2,(2.4k),"Job Security, Skill Development, Company Culture",1,5k
395,Statestreet HCL Services,3.4,(2.4k),"Promotions, Salary, Company Culture",--,12.5k
396,Aavas Financiers,3.9,(2.4k),Skill Development,55,5.7k
397,Delhi Public School,3.7,(2.4k),"Promotions, Company Culture",126,5.3k
398,Capgemini Engineering,3.3,(2.4k),"Promotions, Salary, Work Satisfaction",--,13.1k
399,Axis Direct,3.6,(2.4k),"Promotions, Work Satisfaction, Skill Development",52,4.8k
400,Lodha,4.2,(2.4k),"Company Culture, Work Life Balance, Job Security",175,9.1k
401,Cybage,3.7,(2.4k),Work Life Balance,26,17.2k
402,Straive,3.3,(2.4k),"Promotions, Salary, Skill Development",96,10.7k
403,Team Computers,3.7,(2.4k),"Promotions, Salary",211,8.9k
404,Kia India,3.9,(2.4k),"Job Security, Skill Development",103,8.4k
405,TCE,3.9,(2.4k),"Work Life Balance, Job Security",47,10.2k
406,Apollo Pharmacy,3.7,(2.4k),Job Security,1.1k,7.3k
407,Sopra Steria,3.9,(2.4k),"Work Life Balance, Job Security, Company Culture",27,14.2k
408,KocharTech,3.6,(2.4k),"Promotions, Salary, Company Culture",28,3.8k
409,Xoriant,4.0,(2.4k),"Work Life Balance, Company Culture, Work Satisfaction",43,11.7k
410,GVK Emergency Management and Research Institute,3.6,(2.4k),"Promotions, Job Security, Salary",72,4.8k
411,Akums Drugs & Pharmaceuticals Limited,4.2,(2.3k),"Job Security, Skill Development, Company Culture",19,6.3k
412,SBI Securities,3.6,(2.3k),"Promotions, Company Culture, Work Satisfaction",107,7k
413,Sobha,3.8,(2.3k),Job Security,58,8.6k
414,Star Union Dai-ichi Life Insurance,3.8,(2.3k),,24,5.5k
415,Endurance Technologies Limited,3.9,(2.3k),"Skill Development, Job Security",27,8k
416,Bharat Petroleum,4.2,(2.3k),"Company Culture, Work Life Balance, Work Satisfaction",--,7.5k
417,Eureka Forbes,3.6,(2.3k),"Promotions, Job Security, Company Culture",7,5.7k
418,Isgec Heavy Engineering,3.8,(2.3k),Job Security,72,7k
419,BNP Paribas,3.7,(2.3k),"Job Security, Work Life Balance",39,19.4k
420,Daikin Airconditioning India Pvt. Ltd.,4.2,(2.3k),"Job Security, Work Life Balance, Company Culture",6,8k
421,Lifestyle,4.2,(2.3k),"Work Life Balance, Job Security, Company Culture",17,6.7k
422,Panasonic Life Solutions India,3.9,(2.3k),"Company Culture, Work Life Balance, Job Security",21,7.2k
423,Radisson Hotels,4.0,(2.3k),"Job Security, Skill Development, Company Culture",66,5.3k
424,Myntra,3.8,(2.3k),"Company Culture, Skill Development",7,10.9k
425,AWL Agri Business,4.1,(2.3k),"Job Security, Work Life Balance, Skill Development",12,7.1k
426,Unacademy,2.9,(2.3k),"Job Security, Promotions, Work Life Balance",12,10.3k
427,Bharti AXA Life Insurance,3.6,(2.3k),"Job Security, Promotions, Work Satisfaction",897,5.2k
428,SBI General Insurance,3.5,(2.3k),"Promotions, Work Satisfaction, Company Culture",37,6.9k
429,Cisco,4.1,(2.3k),"Company Culture, Work Life Balance, Salary",302,19.4k
430,Renault Nissan Technology & Business Centre India,3.6,(2.2k),Work Life Balance,24,15.3k
431,Meesho,3.7,(2.2k),Salary,41,10.1k
432,Coromandel International,4.1,(2.2k),"Job Security, Company Culture, Work Life Balance",54,7.8k
433,Sify Technologies,3.6,(2.2k),"Promotions, Salary, Company Culture",36,10.1k
434,ValueLabs,3.4,(2.2k),"Promotions, Work Satisfaction, Job Security",64,16.5k
435,Lava International,3.9,(2.2k),"Company Culture, Work Life Balance, Skill Development",5,4.4k
436,Indian Railways,4.2,(2.2k),"Job Security, Company Culture, Work Life Balance",--,3.5k
437,Henry Harvin Education,3.9,(2.2k),"Work Life Balance, Company Culture, Work Satisfaction",14,982
438,Allstate,3.7,(2.2k),Work Life Balance,22,12.2k
439,Whirlpool,4.0,(2.2k),"Work Life Balance, Company Culture, Work Satisfaction",16,8k
440,Shahi Exports,3.9,(2.2k),"Job Security, Company Culture, Work Life Balance",54,6.9k
441,GlaxoSmithKline Pharmaceuticals,4.1,(2.2k),"Company Culture, Work Life Balance, Salary",22,6k
442,Bank of Baroda,3.6,(2.2k),Job Security,--,7.2k
443,JK Tyre,3.8,(2.2k),Promotions,5,7k
444,Generali Central Life Insurance,3.4,(2.2k),"Promotions, Work Satisfaction, Job Security",22,6.9k
445,Poonawalla Fincorp,3.6,(2.2k),"Promotions, Company Culture, Work Satisfaction",6,6.2k
446,Mercedes-Benz Research and Development India,3.5,(2.2k),"Work Life Balance, Job Security",--,18.4k
447,Spark Minda,3.8,(2.2k),Promotions,12,7.4k
448,Manipal Hospitals,4.0,(2.2k),"Job Security, Skill Development, Company Culture",48,7.5k
449,FirstCry,3.5,(2.2k),"Promotions, Company Culture, Work Satisfaction",7,9.2k
450,Jio Platforms,3.4,(2.2k),Job Security,--,15.2k
451,Saint-Gobain,3.8,(2.2k),"Job Security, Company Culture, Work Life Balance",141,12.2k
452,NTT DATA Business Solutions,4.1,(2.2k),"Company Culture, Work Life Balance, Work Satisfaction",20,13.4k
453,Cargill,3.9,(2.2k),"Work Life Balance, Company Culture, Salary",167,8.8k
454,Nuvoco Vistas,4.1,(2.2k),"Job Security, Skill Development, Company Culture",34,7.4k
455,Infinite Computer Solutions,3.2,(2.2k),"Promotions, Job Security, Skill Development",188,16k
456,Life Insurance Corporation of India,4.4,(2.2k),"Company Culture, Work Life Balance, Work Satisfaction",1,4.6k
457,Nokia Networks,4.1,(2.2k),"Company Culture, Work Life Balance, Work Satisfaction",6,10.3k
458,CAMS,3.6,(2.2k),Job Security,16,9.1k
459,Brakes India,3.9,(2.2k),"Job Security, Skill Development, Company Culture",41,7.3k
460,upGrad,3.3,(2.2k),"Job Security, Promotions, Work Satisfaction",34,9.6k
461,BHEL,4.2,(2.2k),"Job Security, Work Life Balance, Company Culture",53,5.3k
462,Microsoft Corporation,3.8,(2.2k),"Work Life Balance, Company Culture",--,32.3k
463,Power Mech Projects,3.8,(2.2k),Job Security,3,6.9k
464,Kotak Securities,3.4,(2.2k),"Promotions, Skill Development, Work Satisfaction",30,9.6k
465,Force Motors,3.7,(2.1k),"Promotions, Company Culture, Work Satisfaction",24,8.3k
466,CitiusTech,3.1,(2.1k),"Promotions, Job Security, Work Satisfaction",7,14.8k
467,Pfizer,3.9,(2.1k),"Work Life Balance, Company Culture",60,6k
468,"Maruti Suzuki India Limited, Hansalpur",4.2,(2.1k),"Company Culture, Job Security, Salary",466,6.9k
469,Provana,4.1,(2.1k),"Company Culture, Work Life Balance, Job Security",18,4.6k
470,EPAM Systems,3.7,(2.1k),"Skill Development, Work Life Balance, Salary",115,25k
471,IndusInd General Insurance,3.6,(2.1k),"Promotions, Company Culture, Work Satisfaction",15,7.2k
472,Biological E,4.2,(2.1k),"Job Security, Work Life Balance, Company Culture",45,7.2k
473,Huawei Technologies,4.1,(2.1k),"Salary, Skill Development, Company Culture",34,7.7k
474,SGS,3.7,(2.1k),"Promotions, Salary",146,6.8k
475,ITC Hotels,4.1,(2.1k),"Job Security, Skill Development, Company Culture",--,5.4k
476,Simplex Infrastructures,3.4,(2.1k),"Promotions, Salary, Work Life Balance",2,4.2k
477,Reliance Trends,4.1,(2.1k),"Job Security, Skill Development, Company Culture",--,4.1k
478,Morgan Stanley,3.6,(2.1k),"Job Security, Promotions, Work Satisfaction",52,28.2k
479,K12 Techno Services,3.7,(2.1k),"Job Security, Promotions",360,5.4k
480,Raymond Lifestyle Limited,4.2,(2.1k),"Work Life Balance, Company Culture, Job Security",19,6.3k
481,Delphi TVS,3.8,(2.1k),Skill Development,2,5.6k
482,Aditya Birla Health Insurance Co,3.7,(2.1k),Promotions,5,7.3k
483,Ola Cabs,3.2,(2.1k),"Job Security, Promotions, Company Culture",47,8.9k
484,YASH Technologies,3.6,(2.1k),"Promotions, Salary, Work Satisfaction",460,16.4k
485,Renault-Nissan,4.1,(2.1k),"Job Security, Company Culture, Work Life Balance",--,7.4k
486,Narayana Health,4.0,(2.1k),"Job Security, Work Life Balance, Skill Development",80,6.3k
487,Extramarks Education,3.2,(2.1k),"Job Security, Promotions, Work Satisfaction",4,7.2k
488,Shadowfax Technologies,3.5,(2k),"Promotions, Job Security, Company Culture",24,7.9k
489,Trent,3.8,(2k),Job Security,19,5.4k
490,IDBI Bank,3.3,(2k),"Promotions, Work Life Balance, Work Satisfaction",--,6.1k
491,Haier Appliances India,3.9,(2k),"Skill Development, Salary",34,7.3k
492,Senco Gold,4.4,(2k),"Job Security, Skill Development, Company Culture",1,1.6k
493,Novartis,4.2,(2k),"Work Life Balance, Company Culture, Salary",91,10.5k
494,Honeywell Automation,3.7,(2k),Promotions,--,12.7k
495,AECOM,4.2,(2k),"Work Life Balance, Company Culture, Work Satisfaction",203,7.3k
496,HSBC Electronic Data Processing,4.0,(2k),"Company Culture, Work Life Balance, Job Security",--,8.4k
497,Motherson Automotive Technologies and Engineering,3.7,(2k),Job Security,--,7.8k
498,R.R. Donnelley,3.6,(2k),Job Security,6,10.3k
499,Schindler,3.9,(2k),"Skill Development, Company Culture, Salary",76,6.3k
500,SAP,4.1,(2k),"Work Life Balance, Company Culture, Job Security",--,18.4k
501,L&T Energy Hydrocarbon,3.8,(2k),Job Security,--,8.5k
502,Paisabazaar.com,3.4,(2k),"Job Security, Promotions, Company Culture",66,7.1k
503,Aye Finance,4.1,(2k),"Salary, Work Life Balance, Company Culture",54,3.7k
504,Ninjacart,3.7,(2k),"Job Security, Promotions",33,4.9k
505,CMS Infosystems,3.5,(2k),"Promotions, Salary, Company Culture",3,4.9k
506,Globiva,3.0,(2k),"Promotions, Work Satisfaction, Job Security",161,5.5k
507,TELUS Digital,3.5,(2k),"Promotions, Work Satisfaction, Job Security",17,10.7k
508,V-Guard,4.3,(2k),"Company Culture, Work Life Balance, Job Security",42,4.7k
509,NCR Voyix,3.4,(2k),"Promotions, Job Security, Skill Development",34,9.5k
510,Uflex,3.8,(2k),"Job Security, Work Life Balance",53,6.9k
511,Crisil,3.5,(2k),"Promotions, Salary, Work Satisfaction",653,13.8k
512,Spinny,3.6,(2k),"Promotions, Work Life Balance, Work Satisfaction",65,7.9k
513,Dr Lal PathLabs,4.2,(2k),"Job Security, Company Culture, Work Life Balance",86,4.5k
514,Microland,3.5,(2k),"Promotions, Work Satisfaction, Salary",460,10.8k
515,CNH (Case New Holland),3.7,(2k),Work Life Balance,15,6.2k
516,State Street Syntel,3.7,(2k),"Job Security, Skill Development",--,6.2k
517,Adecco Group,3.8,(2k),Work Life Balance,3,7.5k
518,Aadhar Housing Finance,4.0,(2k),"Company Culture, Skill Development, Work Satisfaction",15,4.7k
519,Godrej Properties,3.6,(2k),Salary,--,9.5k
520,Gabriel India Limited,4.0,(2k),"Job Security, Skill Development, Company Culture",3,5.8k
521,Philips,3.8,(2k),Work Life Balance,104,11.3k
522,Parle Products,3.9,(2k),Salary,27,3.6k
523,Tata Power,3.9,(2k),"Job Security, Work Life Balance, Company Culture",26,7.5k
524,HTC Global Services,3.3,(2k),"Promotions, Skill Development, Company Culture",--,13.6k
525,G R Infraprojects,4.1,(2k),"Salary, Skill Development, Company Culture",50,5.4k
526,Angel One,3.5,(1.9k),"Promotions, Job Security, Work Satisfaction",62,7.9k
527,Trident Group,3.3,(1.9k),Salary,25,5.6k
528,DHL Supply Chain,4.1,(1.9k),"Job Security, Work Life Balance, Company Culture",92,6.3k
529,CSB Bank,3.2,(1.9k),"Promotions, Company Culture, Work Satisfaction",1.3k,7.4k
530,ICICI Home Finance,3.7,(1.9k),Salary,12,5.6k
531,Verizon,3.5,(1.9k),Salary,2,12.2k
532,NTPC,4.2,(1.9k),"Company Culture, Work Life Balance, Work Satisfaction",--,4.4k
533,Lucas-TVS,3.9,(1.9k),Job Security,19,6.2k
534,Iris Software,3.7,(1.9k),"Promotions, Job Security",456,8.1k
535,Infinx,3.7,(1.9k),Job Security,56,5.6k
536,Google,4.4,(1.9k),"Company Culture, Work Life Balance, Work Satisfaction",411,36.4k
537,Thomson Reuters,3.7,(1.9k),"Work Life Balance, Company Culture",105,10.9k
538,Safexpress,3.9,(1.9k),"Job Security, Company Culture, Work Life Balance",--,5.6k
539,NeoSOFT,3.2,(1.9k),"Job Security, Promotions, Company Culture",56,11.1k
540,PI Industries,3.8,(1.9k),Salary,12,7k
541,Rungta Mines,3.9,(1.9k),"Salary, Work Life Balance, Job Security",--,6.2k
542,Torrent Power,3.7,(1.9k),"Job Security, Work Life Balance",67,7.9k
543,Polycab Wires,4.0,(1.9k),"Salary, Work Life Balance",113,7.5k
544,Jindal Saw,4.0,(1.9k),"Job Security, Work Life Balance, Salary",46,6.9k
545,Orchids International School,4.0,(1.9k),"Skill Development, Work Satisfaction",19,4k
546,Medi Assist India,3.4,(1.9k),"Promotions, Salary, Work Satisfaction",26,7.5k
547,Hindustan Aeronautics,4.3,(1.9k),"Work Life Balance, Company Culture, Work Satisfaction",1,4.5k
548,Capri Global Capital,3.6,(1.9k),"Job Security, Promotions, Company Culture",3,4.3k
549,Tekwissen,4.9,(1.9k),"Company Culture, Work Life Balance, Work Satisfaction",44,628
550,Tata Tele Business Services,3.5,(1.9k),"Promotions, Company Culture, Work Satisfaction",61,4.6k
551,TVS Sundram Fasteners,3.6,(1.9k),"Promotions, Salary, Company Culture",15,6.7k
552,Fusion CX,3.2,(1.9k),"Promotions, Job Security, Company Culture",215,4.6k
553,Infra.Market,3.9,(1.9k),"Salary, Company Culture, Work Life Balance",--,3.9k
554,Aragen Life Sciences,3.9,(1.9k),"Job Security, Company Culture, Work Life Balance",101,6.6k
555,AXA Global Business Services,3.7,(1.9k),"Work Life Balance, Job Security",8,7.2k
556,KENT RO Systems,3.7,(1.9k),Work Life Balance,10,4.2k
557,First American (India),3.5,(1.9k),"Promotions, Salary, Skill Development",89,9.5k
558,Digit Insurance,3.6,(1.9k),"Promotions, Salary",48,6.3k
559,Haldiram Foods International Limited,3.8,(1.8k),Promotions,--,6.1k
560,AkzoNobel,4.1,(1.8k),"Company Culture, Salary, Work Life Balance",20,4.6k
561,Honda Cars,4.3,(1.8k),"Work Life Balance, Company Culture, Job Security",--,6.3k
562,Hindustan Petroleum,4.2,(1.8k),"Company Culture, Work Life Balance, Job Security",--,6.1k
563,Adani Green Energy,3.9,(1.8k),"Salary, Skill Development",1,6.3k
564,DIVI'S Laboratories,3.6,(1.8k),Salary,--,6.8k
565,Innovsource Services,3.9,(1.8k),Promotions,--,4.6k
566,Sterling & Wilson,4.1,(1.8k),"Company Culture, Work Life Balance, Job Security",23,6.7k
567,MetLife,4.0,(1.8k),"Work Life Balance, Job Security, Company Culture",67,9.7k
568,Cafe Coffee Day,3.7,(1.8k),"Promotions, Salary, Company Culture",6,3.8k
569,Air India,3.4,(1.8k),"Promotions, Company Culture, Work Satisfaction",41,8.3k
570,Pine Labs,3.2,(1.8k),"Promotions, Work Satisfaction, Job Security",7,7.8k
571,Reckitt Benckiser,3.9,(1.8k),"Salary, Work Life Balance",69,6.4k
572,SS&C TECHNOLOGIES,3.2,(1.8k),"Promotions, Salary, Company Culture",180,13.6k
573,USHA International,4.0,(1.8k),"Work Life Balance, Company Culture, Job Security",19,4.9k
574,USV,4.0,(1.8k),"Company Culture, Work Life Balance, Job Security",43,5.8k
575,LivSpace,3.3,(1.8k),"Promotions, Work Satisfaction, Job Security",129,8.3k
576,HDFC Securities,3.4,(1.8k),"Promotions, Work Satisfaction, Company Culture",52,6k
577,XBP Global,3.1,(1.8k),"Promotions, Job Security, Skill Development",76,7.6k
578,Annapurna Finance,3.8,(1.8k),Salary,1,3.8k
579,Kalyan Jewellers,4.4,(1.8k),"Salary, Job Security, Skill Development",17,1.6k
580,Stellar Migration,1.3,(1.8k),"Company Culture, Work Life Balance, Work Satisfaction",--,2
581,Granules India Limited,3.8,(1.8k),"Promotions, Work Satisfaction, Skill Development",3,6.5k
582,Tata Communications Transformation Services,3.8,(1.8k),Work Life Balance,--,8.4k
